Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
2006,Subaru,Legacy,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2006,Subaru,Outback,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2006,Subaru,Tribeca,CWTWBU745,433.92,ASK,,,
2006,Subaru,Tribeca,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2006,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Avalon,GQ43VT20T,315,ASK,,,
2006,Toyota,Avalon,HYQ14AAB,314.35,ASK,,,
2006,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Celica,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Corolla,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Highlander,HYQ12BAN,314.35,ASK,,,
2006,Toyota,Highlander,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Matrix,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
2006,Toyota,Prius,MOZB21EG,noRecord,XXX,,,
2006,Toyota,Prius,MOZB31EG,312.15,ASK,,,
2006,Toyota,RAV4,HYQ12BBY,314.35,ASK,,,
2006,Toyota,Sequoia,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Sienna,GQ43VT20T,315,ASK,,,
2006,Toyota,Solara,GQ43VT20T,315,ASK,,,
2006,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2006,Toyota,Tacoma,GQ43VT20T,315,ASK,,,
2006,Toyota,Tacoma,HYQ12BBX,314.35,ASK,,,
2006,Toyota,Tundra,ELVATDD,433.92,ASK,,,
2006,Toyota,Tundra,HYQ12BBX,314.35,ASK,,,
2007,Acura,RL,ACJ8D8E24A04,311.9,FSK,,,
2007,Acura,TSX,OUCG8D-387H-A,313.85,FSK,,,
2007,Buick,LaCrosse,KOBGT04A,315,ASK,,,
2007,Buick,Lucerne,OUC60270 / OUC60221,315,ASK,,,
2007,Buick,Rainier,MYT3X6898B,315,ASK,,,
2007,Buick,Terraza,KOBGT04A,315,ASK,,,
2007,Cadillac,DTS,OUC60270 / OUC60221,315,ASK,,,
2007,Cadillac,Escalade,LHJ011,315,ASK,,,
2007,Cadillac,Escalade,OUC6000223,315,ASK,,,
2007,Cadillac,Escalade,OUC60270 / OUC60221,315,ASK,,,
2007,Cadillac,SRX,OUC6000066 / OUC6000223,315,ASK,,,
2007,Cadillac,STS,M3N65981403,315,ASK,,,
2007,Chevrolet,Avalanche,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Cobalt,KOBGT04A,315,ASK,,,
2007,Chevrolet,Corvette,M3N65981403,315,ASK,,,
2007,Chevrolet,Equinox,LHJ011,315,ASK,,,
2007,Chevrolet,Equinox,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Express,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,HHR,KOBGT04A,315,ASK,,,
2007,Chevrolet,Impala,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Malibu,KOBGT04A,315,ASK,,,
2007,Chevrolet,Monte Carlo,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Savana,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Silverado,LHJ011,315,ASK,,,
2007,Chevrolet,Silverado,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Suburban,LHJ011,315,ASK,,,
2007,Chevrolet,Suburban,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Tahoe,LHJ011,315,ASK,,,
2007,Chevrolet,Tahoe,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Trailblazer,MYT3X6898B,315,ASK,,,
2007,Chevrolet,Traverse,OUC60270 / OUC60221,315,ASK,,,
2007,Chevrolet,Uplander,KOBGT04A,315,ASK,,,
2007,Chrysler,300,KOBDT04A,315,ASK,,,
2007,Chrysler,300,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Aspen,KOBDT04A,315,ASK,,,
2007,Chrysler,Aspen,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Pacifica,M3N5WY72XX,315,ASK,,,
2007,Chrysler,PT Cruiser,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Sebring,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Chrysler,Town & Country,M3N5WY72XX,315,ASK,,,
2007,Dodge,Caliber,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Caravan,M3N5WY72XX,315,ASK,,,
2007,Dodge,Charger,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Durango,KOBDT04A,315,ASK,,,
2007,Dodge,Durango,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Magnum,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,Nitro,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Dodge,RAM,OHT692427AA,315,ASK,Replay attack,https://www.rtl-sdr.com/using-a-hackrf-to-perform-a-replay-attack-against-a-jeep-patriot/,
2007,Ford,Crown Victoria,CWTWB1U331,314.5/315.5,ASK,,,
2007,Ford,Econoline,CWTWB1U331,314.5/315.5,ASK,,,
2007,Ford,Edge,CWTWB1U793,315,ASK,,,
2007,Ford,Edge,OUCD6000022,315,ASK,,,
2007,Ford,Escape,CWTWB1U331,314.5/315.5,ASK,,,
2007,Ford,Escape,CWTWB1U793,315,ASK,,,
2007,Ford,Escape,OUCD6000022,315,ASK,,,
2007,Ford,Expedition,CWTWB1U331,314.5/315.5,ASK,,,
